business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,attributes,categories,hours,specific_categories
XumVmbgiePOFfxlZC8fQ2w,Holy Que Smokehouse,5788 Lower York Rd,Lahaska,PA,18931,40.34633,-75.03349,4.5,35,1,"{'RestaurantsReservations': 'False', 'RestaurantsPriceRange2': '2', 'OutdoorSeating': 'True', 'Caters': 'True', 'BusinessParking': ""{u'valet': False, u'garage': False, u'street': False, u'lot': True, u'validated': False}"", 'BikeParking': 'True', 'BusinessAcceptsBitcoin': 'False', 'WiFi': ""u'no'"", 'BusinessAcceptsCreditCards': 'True', 'RestaurantsTakeOut': 'True', 'WheelchairAccessible': 'True', 'RestaurantsDelivery': 'False', 'DriveThru': 'False', 'Ambience': ""{u'divey': False, u'hipster': False, u'casual': False, u'touristy': False, u'trendy': False, u'intimate': False, u'romantic': False, u'classy': True, u'upscale': False}"", 'RestaurantsTableService': 'False'}","Caterers, Event Planning & Services, Restaurants, Breakfast & Brunch, Sandwiches, Barbeque","{'Monday': '0:0-0:0', 'Thursday': '12:0-18:0', 'Friday': '12:0-15:0', 'Saturday': '12:0-18:0', 'Sunday': '12:0-16:0'}",Restaurants
EBolLF4rYM2sP_lqhVsddA,Fresh Fit Foods,10720 142 Street NW,Edmonton,AB,T5N 2P7,53.552203,-113.565892,4.0,10,1,"{'RestaurantsPriceRange2': '2', 'RestaurantsTableService': 'False', 'BikeParking': 'True', 'RestaurantsTakeOut': 'True', 'RestaurantsDelivery': 'False', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'OutdoorSeating': 'False', 'RestaurantsGoodForGroups': 'True', 'RestaurantsAttire': ""'casual'"", 'GoodForKids': 'True', 'RestaurantsReservations': 'False', 'HasTV': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}""}","Food, Health Markets, Canadian (New), Specialty Food, Restaurants","{'Monday': '7:0-21:0', 'Tuesday': '7:0-21:0', 'Wednesday': '7:0-21:0', 'Thursday': '7:0-21:0', 'Friday': '7:0-20:0', 'Saturday': '9:0-17:0', 'Sunday': '10:0-15:0'}",Restaurants
XwoXi0M66RU6Gouq-DSDHw,G Peppers Grill & Tavern,8745 Gunn Hwy,Odessa,FL,33556,28.0921362,-82.5785736,4.0,82,1,"{'RestaurantsGoodForGroups': 'True', 'RestaurantsAttire': ""u'casual'"", 'GoodForKids': 'True', 'Alcohol': ""u'beer_and_wine'"", 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'BusinessAcceptsCreditCards': 'True', 'RestaurantsReservations': 'False', 'RestaurantsTakeOut': 'True', 'BikeParking': 'True', 'HasTV': 'True', 'NoiseLevel': ""u'average'"", 'RestaurantsDelivery': 'False', 'OutdoorSeating': 'False', 'WiFi': ""u'free'"", 'RestaurantsPriceRange2': '1', 'HappyHour': 'True', 'DogsAllowed': 'False', 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': None, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': True}"", 'GoodForMeal': ""{'dessert': None, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': None}"", 'Caters': 'False'}","Restaurants, Mexican, American (Traditional)","{'Monday': '11:0-22:0', 'Tuesday': '11:0-22:0', 'Wednesday': '11:0-22:0', 'Thursday': '11:0-22:0', 'Friday': '11:0-23:0', 'Saturday': '11:0-23:0', 'Sunday': '10:30-21:0'}",Restaurants
V6bbrITJZLj5mCLQGb4jqg,Pupuseria la salvadoreña,5410 W 34th St,Indianapolis,IN,46224,39.816829,-86.254004,5.0,7,1,"{'HasTV': 'True', 'Caters': 'False', 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}"", 'DogsAllowed': 'False', 'BikeParking': 'False', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'RestaurantsTableService': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'Alcohol': ""u'none'"", 'BusinessAcceptsCreditCards': 'True', 'WheelchairAccessible': 'True', 'HappyHour': 'False', 'WiFi': ""u'no'"", 'BusinessAcceptsBitcoin': 'False', 'RestaurantsTakeOut': 'True', 'RestaurantsDelivery': 'True', 'OutdoorSeating': 'False'}","Restaurants, Mexican, Salvadoran, Latin American","{'Monday': '0:0-0:0', 'Tuesday': '9:0-21:0', 'Wednesday': '9:0-21:0', 'Thursday': '9:0-21:0', 'Friday': '9:0-21:0', 'Saturday': '9:0-21:0', 'Sunday': '9:0-21:0'}",Restaurants
QkYXd12QO6N7BykYOp_8Ag,Sansom Watches,"Neff Jewelry Trade Building, 740 Sansom St , Ste 607",Philadelphia,PA,19106,39.9485785,-75.1539429,4.5,13,1,"{'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsPriceRange2': '1'}","Local Services, Watch Repair, Jewelry, Shopping, Watches","{'Monday': '10:0-18:0', 'Tuesday': '10:0-18:0', 'Wednesday': '10:0-18:0', 'Thursday': '10:0-18:0', 'Friday': '10:0-18:0', 'Saturday': '10:30-14:0'}",Shopping
E49Uk02j9jN7FyPr6II68Q,"Keith  Anderson, DMD","9225 Manchester Rd, Ste 202",Saint Louis,MO,63144,38.6120403064,-90.3572441499,3.5,9,1,{'ByAppointmentOnly': 'True'},"Health & Medical, Laboratory Testing, Orthodontists, General Dentistry, Diagnostic Services, Dentists, Cosmetic Dentists","{'Monday': '9:0-18:0', 'Tuesday': '8:30-17:0', 'Wednesday': '8:30-17:0', 'Thursday': '8:30-17:0'}",Health & Medical
U9BNibUtLnp8v9jBMPvLhA,Chickie’s and Pete’s,"8000 Essington Ave, Terminal C, Philadelphia Airport",Philadelphia,PA,19153,39.87273,-75.252014,2.5,9,1,"{'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}"", 'Music': ""{'dj': False, 'background_music': False, 'no_music': False, 'jukebox': False, 'live': False, 'video': False, 'karaoke': False}"", 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'HasTV': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}""}","Food, Restaurants, Bars, Chicken Wings, Sports Bars, Nightlife, Specialty Food, American (Traditional), Seafood","{'Monday': '4:45-22:0', 'Tuesday': '4:45-22:0', 'Wednesday': '4:45-22:0', 'Thursday': '4:45-22:0', 'Friday': '4:45-22:0', 'Saturday': '4:45-22:0', 'Sunday': '4:45-22:0'}",Restaurants
6-1tbnFKmwP1X_qgNZU7ww,Mattress Direct,2156 Michigan Avenue,Arnold,MO,63010,38.4397229,-90.378109,3.0,7,1,"{'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'BusinessAcceptsCreditCards': 'True', 'RestaurantsPriceRange2': '2', 'BikeParking': 'True'}","Health & Medical, Home & Garden, Mattresses, Shopping","{'Monday': '10:0-20:0', 'Tuesday': '10:0-20:0', 'Wednesday': '10:0-20:0', 'Thursday': '10:0-20:0', 'Friday': '10:0-20:0', 'Saturday': '10:0-18:0', 'Sunday': '11:0-17:0'}",Shopping
C-TjsV4D-OmPIahPmvgxPw,Amity Nails,699 Gravois Bluffs Blvd,Fenton,MO,63026,38.50806,-90.44266,3.5,22,1,"{'ByAppointmentOnly': 'False', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsPriceRange2': '2', 'BikeParking': 'False', 'BusinessAcceptsCreditCards': 'True'}","Nail Salons, Beauty & Spas","{'Monday': '9:0-20:0', 'Tuesday': '9:0-20:0', 'Wednesday': '9:0-20:0', 'Thursday': '9:0-20:0', 'Friday': '9:0-20:0', 'Saturday': '9:0-19:0', 'Sunday': '11:0-17:0'}",Beauty & Spas
Y2c1A6yWnQy58slS6JlD8A,Mickey's Tavern,2907 Gallatin Pike,Nashville,TN,37216,36.203317,-86.738974,4.5,77,1,"{'BikeParking': 'True', 'RestaurantsReservations': 'False', 'RestaurantsGoodForGroups': 'True', 'NoiseLevel': ""'average'"", 'BusinessAcceptsBitcoin': 'False', 'RestaurantsPriceRange2': '1', 'HasTV': 'True', 'BusinessAcceptsCreditCards': 'True', 'OutdoorSeating': 'True', 'Alcohol': ""u'full_bar'"", 'BestNights': ""{'monday': False, 'tuesday': False, 'friday': True, 'wednesday': True, 'thursday': False, 'sunday': False, 'saturday': False}"", 'HappyHour': 'True', 'WiFi': ""u'free'"", 'Smoking': ""u'outdoor'"", 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'Ambience': ""{'touristy': False, 'hipster': None, 'romantic': False, 'divey': True, 'intimate': None, 'trendy': None, 'upscale': False, 'classy': True, 'casual': None}"", 'Music': ""{u'dj': False, u'live': False, u'jukebox': True, u'video': False, u'background_music': False, u'karaoke': None, u'no_music': False}""}","Bars, Nightlife, Dive Bars, Pubs, Lounges","{'Monday': '14:0-3:0', 'Tuesday': '14:0-3:0', 'Wednesday': '14:0-3:0', 'Thursday': '14:0-3:0', 'Friday': '14:0-3:0', 'Saturday': '12:0-3:0', 'Sunday': '12:0-3:0'}",Health & Medical
