,business_id,name,categories,city,stars,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6
0,-2-ih3mE8KPyeKVIzpBfPQ,SkyGarten,"American (Traditional), Bars, Restaurants, Nightlife, Beer Gardens",Philadelphia,3.5,0.1947484312235603,0.021369680707760786,0.006500556127635515,0.18073011071478481,0.20443923111227438,0.3922119901139842
1,-T_lkOvaK39R-Ufg6VUyxg,Magpie,"Desserts, Food, Coffee & Tea, Restaurants",Philadelphia,4.5,0.040459052980730575,0.309370562949614,0.0,0.11612397637840546,0.17342938883038894,0.360617018860861
2,-V0vIgo6196MDn_x3ZaYmA,La Creperie Cafe,"Restaurants, Cafes, Creperies",Philadelphia,3.5,0.35996839099799777,0.10545989567651565,0.025130339359795334,0.19578387476886247,0.2557532258473835,0.05790427334944531
3,-cEFKAznWmI0cledNOIQ7w,Gran Caffe L'Aquila,"Restaurants, Gelato, Coffee & Tea, Food, Italian, Bakeries",Philadelphia,4.5,0.2629146365696224,0.10881578959336084,0.06630035011472836,0.18211647089255323,0.16351171414916896,0.2163410386805662
4,-lVEVi3vtQ8_L9kKT0bBwQ,Le Chéri,"Restaurants, French",Philadelphia,4.0,0.1875780326827623,0.09063438592305513,0.008888229673421883,0.17068828021860696,0.19929251329700937,0.3429185582051444
5,-mIlmp5l4hKlp1tvHRdvTg,Sonny's Famous Steaks,"Cheesesteaks, Comfort Food, Restaurants, Delis, Burgers, American (Traditional), Sandwiches, Local Flavor",Philadelphia,4.0,0.31407932123014065,0.05264359121923369,0.07151827432534034,0.18350533115336587,0.24309449361695415,0.13515898845496524
6,-nIXhxPvxST6bTuj9jo1UQ,DaMò Pasta Lab,"Italian, Pasta Shops, Restaurants, Food, Specialty Food",Philadelphia,4.5,0.4257898516867573,0.11103687177859208,0.019069238965415684,0.12251033200311068,0.21567937152206343,0.10591433404406084
7,018ixB-WinNmflwX2UvS1g,Pine St Deli,"Sandwiches, Delis, Restaurants",Philadelphia,4.0,0.6418878623046224,0.0,0.0,0.24686310820791185,0.0,0.11124902948746565
8,03cvVjbkCOtiIt51M-MLFg,Prime Halal Meat,"Restaurants, Specialty Food, Meat Shops, Food, Halal, Grocery",Philadelphia,4.5,0.31353850001236777,0.06404022720982816,0.032471452462574865,0.08439058695551233,0.23495110377521108,0.2706081295845058
9,0SWqECZ39P2MlmeXbKnUjg,Asia On the Parkway,"Singaporean, Restaurants, Asian Fusion, Thai",Philadelphia,3.0,0.3127608579665726,0.08624944739097473,0.08440715157939592,0.15946873397415903,0.18991235426871075,0.16720145482018697
10,0ak-7uV9Nb7nF_l-mMCysA,Oishii Poké,"Restaurants, Mexican, Food, Hawaiian, Poke, Japanese",Philadelphia,4.0,0.40698091663347646,0.051507135728362435,0.015506648133431982,0.015491567560307586,0.34026542983599806,0.17024830210842348
11,0bvtIbpsqBJZpRKSPwIfNw,Panorama,"Hotels & Travel, Bars, Food, Wine Bars, Beer, Wine & Spirits, Event Planning & Services, Nightlife, Hotels, Gluten-Free, Restaurants, Italian",Philadelphia,4.0,0.3741371865784634,0.11030188116110283,0.01989938402797774,0.22345053574105728,0.1347266220602664,0.13748439043113234
12,0lGN91IoLe02MtEu9Xtf1w,Pizza Hut,"Chicken Wings, Pizza, Restaurants, Italian",Philadelphia,1.5,0.37683787483682085,0.0036552529310125217,0.008889598449615491,0.08020685605376432,0.30362265346462614,0.2267877642641607
13,0n6rbrYy_zlr9N1WnEmr9Q,Pier Bar,"Restaurants, Seafood, Breakfast & Brunch, Nightlife, Beer Gardens, Bars",Philadelphia,3.5,0.6187719225263912,0.0,0.0,0.09709164525753772,0.284136432216071,0.0
14,0p5Q__lOXxnp74afXHP5tg,Jasmine Rice - Old City,"Restaurants, Thai",Philadelphia,3.5,0.347480571857007,0.0645503325749351,0.12237948675161135,0.15319507294518228,0.20351352525326533,0.108881010617999
15,0pnIIgi4sm96CllW0DhXug,Il Pittore,"Restaurants, American (New), Diners, Italian",Philadelphia,4.0,0.289309546901071,0.20827414989233198,0.10916048478334385,0.043597291075943755,0.30933979521129157,0.04031873213601781
16,0xadnlAs2uV7Ax-7RViZEw,Ikki Sushi,"Sushi Bars, Japanese, Restaurants",Philadelphia,4.5,0.03658883425218866,0.2993137150222173,0.0,0.04421803642141277,0.06974556640312561,0.5501338479010558
17,0zf4KKZqbqoxiuKzeZLDdg,PrimoHoagies,"Italian, Sandwiches, Restaurants",Philadelphia,3.5,0.20871361478560357,0.20232644620492304,0.020127190345443843,0.22262671993404717,0.19407845373358992,0.1521275749963924
18,17Y8circEnkMMXKfLo8Ztg,Bitar's,"Restaurants, Middle Eastern, Falafel, Bakeries, Food, Greek, Mediterranean",Philadelphia,4.0,0.3378587627165641,0.05877019604775133,0.009159529615275405,0.22311936542338628,0.22603100216760072,0.1450611440294222
19,1CCG0WYSoR8ejdgD5-Gaqg,Francoluigi's Pizzeria & Italian Restaurant,"Italian, Restaurants, Pizza",Philadelphia,4.0,0.29120372389568544,0.07835591585717044,0.11478586489703843,0.15051927639140295,0.15202062960349752,0.21311458935520516
20,1NCUTTp6rIyXpwUDVv9qOA,Lazos Pizza & Grill,"Pizza, American (Traditional), Restaurants, Italian",Philadelphia,4.0,0.1645962475233177,0.169093169206767,0.14575191410405722,0.10942481829979077,0.30083048726062267,0.11030336360544458
21,1iE5POC7JT8fKs2tZ-CJnA,Wawa,"Convenience Stores, Delis, Food, Restaurants",Philadelphia,3.0,0.06723022884637644,0.12236921207950814,0.0,0.5252527584541308,0.04265445487680478,0.24249334574317993
22,1klRUBB6LfKCotq75BVmbA,Thirsty Dice,"Themed Cafes, Eatertainment, Bars, Nightlife, Restaurants, Arts & Entertainment, Cafes, Pubs",Philadelphia,4.0,0.35838641314998537,0.03822418888734318,0.0018236253684477265,0.24401213584354844,0.2322888112162184,0.1252648255344569
23,1qciFQiO1RJ83Oh7DRioKQ,Blue Cross RiverRink,"Recreation Centers, Skating Rinks, Active Life, Restaurants, American (New)",Philadelphia,4.0,0.1676959582987057,0.04626936381692236,0.17030899211840286,0.08827226373763801,0.34351467769884186,0.18393874432948926
24,1qexUlZZRWIaPWlvGNnmcA,Palma's Cucina,"Breakfast & Brunch, Italian, Seafood, Restaurants, Pizza",Philadelphia,4.5,0.5706092110160186,0.01834400279739109,0.0,0.05155129853558967,0.0860173839058247,0.27347810374517595
25,1y3y_ihpO6SHxK9MRdtSlw,Noon Mediterranean,"Mediterranean, Restaurants, Greek",Philadelphia,3.5,0.30860148546488914,0.2269332438131961,0.020848026993917367,0.06645695534442637,0.25132438653576034,0.1258359018478108
